"id","email_address","name","physical_address","phone_number"
"1001","rjenkins@zmail.com","Roger Jenkins","56 Shakedown Lane, Juryduty KN 55678","555-572-9989"
"1001","rjenkins@gmail.com","","56 Shakedown Lane, Juryduty KN 55678","555-572-9989"
"1001","rjenkins@gmail.com","Roger Jenkins","56 Shakedown Lane, Juryduty KN 55678",""
"1001","roger_jenkins@ucn.edu","Dr. Roger D. Jenkins","200 University Ave, UniversityTown NV 77042","302-666-8282"
"2001","susan.b.granger@zoom.us","Susan Granger","",""
"2001","susan.b.granger@zoomus","Susan Grange","2131 Bellefeuille Court, Blueville TN 23433","666-702-8989"
"2001","","Susan Granger","2131 Bellefeuille Court, Blueville TN 23433","666-702-8989"
"2001","susan.granger@mapsrus.net","Susan Granger","2131 Belle Feuille Court, Blueville TN 23433","708-242-9001"
"2001","susan.b.granger@zoom.us","Susan Granger","2131 Bellefeuille Court, Blueville TN 2343","666-702-8989"
"3001","gretch@plaidmail.com","","203 Iworkhere Street, North Beantown FL 60313","555-324-0123"
"3001","G_Featherbasket@email-to-go.com","Gretchen Featherbasket","17 Palais Drive, North Beantown FL 60313","555-888-2323"
"3001","G_Featherbasket@email-to-go.com","Gretchen","17 Palais Drive, North Beantown FL 60313","888-2323"
"3001","","Gretchen Featherbasket","17 Palais Drive, North Beantown FL","555-888-2323"
"4001","bdwilliams@gmail.com","Billy D. Williams","100 Grand Avenue, Pismo Beach FL 66701",""
"4001","billy.d.williams@gmail.com","Billy D. Williams","100 Grand Avenue, Pismo Beach FL 66701","555-666-7777"
"4001","bdwilliams@gmail.com","Billy D. Williams","100 Grand Ave, Pismo Beach FL 66701","555-666-7777"
